date,verse,link,season,theme
2025-01-05,Psalm 14,https://www.biblegateway.com/passage/?search=Psalm+14&version=NIV,2nd Sunday after Christmas,The Poverty of God
2025-01-06,Exodus 32:1-8,https://www.biblegateway.com/passage/?search=Exodus+32%3A1-8&version=NIV,2nd Sunday after Christmas,The Poverty of God
2025-01-07,Psalm 74:1-10,https://www.biblegateway.com/passage/?search=Psalm+74%3A1-10&version=NIV,2nd Sunday after Christmas,The Poverty of God
2025-01-08,Isaiah 3:1-5,https://www.biblegateway.com/passage/?search=Isaiah+3%3A1-5&version=NIV,2nd Sunday after Christmas,The Poverty of God
2025-01-09,Mark 6:1-6,https://www.biblegateway.com/passage/?search=Mark+6%3A1-6&version=NIV,2nd Sunday after Christmas,The Poverty of God
2025-01-10,Luke 2:1-7,https://www.biblegateway.com/passage/?search=Luke+2%3A1-7&version=NIV,2nd Sunday after Christmas,The Poverty of God
2025-01-11,1 Corinthians 1:18-31,https://www.biblegateway.com/passage/?search=1+Corinthians+1%3A18-31&version=NIV,2nd Sunday after Christmas,The Poverty of God
2025-01-12,Psalm 114,https://www.biblegateway.com/passage/?search=Psalm+114&version=NIV,1st Sunday after Epiphany,You Stand on Holy Ground
2025-01-13,Genesis 1:24-31,https://www.biblegateway.com/passage/?search=Genesis+1%3A24-31&version=NIV,1st Sunday after Epiphany,You Stand on Holy Ground
2025-01-14,Exodus 3:1-6,https://www.biblegateway.com/passage/?search=Exodus+3%3A1-6&version=NIV,1st Sunday after Epiphany,You Stand on Holy Ground
2025-01-15,Psalm 77:11-20,https://www.biblegateway.com/passage/?search=Psalm+77%3A11-20&version=NIV,1st Sunday after Epiphany,You Stand on Holy Ground
2025-01-16,1 Samuel 3:1-10,https://www.biblegateway.com/passage/?search=1+Samuel+3%3A1-10&version=NIV,1st Sunday after Epiphany,You Stand on Holy Ground
2025-01-17,Matthew 2:1-12,https://www.biblegateway.com/passage/?search=Matthew+2%3A1-12&version=NIV,1st Sunday after Epiphany,You Stand on Holy Ground
2025-01-18,Colossians 1:15-23,https://www.biblegateway.com/passage/?search=Colossians+1%3A15-23&version=NIV,1st Sunday after Epiphany,You Stand on Holy Ground
2025-01-19,Psalm 24,https://www.biblegateway.com/passage/?search=Psalm+24&version=NIV,Season after Epiphany,The Kingdom of God is Among You
2025-01-20,Luke 17:20-21,https://www.biblegateway.com/passage/?search=Luke+17%3A20-21&version=NIV,Season after Epiphany,The Kingdom of God is Among You
2025-01-21,Mark 12:41-44,https://www.biblegateway.com/passage/?search=Mark+12%3A41-44&version=NIV,Season after Epiphany,The Kingdom of God is Among You
2025-01-22,Psalm 145,https://www.biblegateway.com/passage/?search=Psalm+145&version=NIV,Season after Epiphany,The Kingdom of God is Among You
2025-01-23,Matthew 5:1-12,https://www.biblegateway.com/passage/?search=Matthew+5%3A1-12&version=NIV,Season after Epiphany,The Kingdom of God is Among You
2025-01-24,Deuteronomy 30:11-14,https://www.biblegateway.com/passage/?search=Deuteronomy+30%3A11-14&version=NIV,Season after Epiphany,The Kingdom of God is Among You
2025-01-25,Hebrews 12:18-29,https://www.biblegateway.com/passage/?search=Hebrews+12%3A18-29&version=NIV,Season after Epiphany,The Kingdom of God is Among You
2025-01-26,Psalm 104,https://www.biblegateway.com/passage/?search=Psalm+104&version=NIV,Season after Epiphany,The Extraordinary in the Ordinary
2025-01-27,Colossians 2:1-6,https://www.biblegateway.com/passage/?search=Colossians+2%3A1-6&version=NIV,Season after Epiphany,The Extraordinary in the Ordinary
2025-01-28,Matthew 17:1-13,https://www.biblegateway.com/passage/?search=Matthew+17%3A1-13&version=NIV,Season after Epiphany,The Extraordinary in the Ordinary
2025-01-29,Genesis 21:1-7,https://www.biblegateway.com/passage/?search=Genesis+21%3A1-7&version=NIV,Season after Epiphany,The Extraordinary in the Ordinary
2025-01-30,2 Corinthians 4:1-15,https://www.biblegateway.com/passage/?search=2+Corinthians+4%3A1-15&version=NIV,Season after Epiphany,The Extraordinary in the Ordinary
2025-01-31,Isaiah 51:1-16,https://www.biblegateway.com/passage/?search=Isaiah+51%3A1-16&version=NIV,Season after Epiphany,The Extraordinary in the Ordinary
2025-02-01,Hebrews 4:14-16,https://www.biblegateway.com/passage/?search=Hebrews+4%3A14-16&version=NIV,Season after Epiphany,The Extraordinary in the Ordinary
2025-02-02,Psalm 97,https://www.biblegateway.com/passage/?search=Psalm+97&version=NIV,Season after Epiphany,Behold the Beauty of the Lord
2025-02-03,Deuteronomy 4:31-39,https://www.biblegateway.com/passage/?search=Deuteronomy+4%3A31-39&version=NIV,Season after Epiphany,Behold the Beauty of the Lord
2025-02-04,Psalm 93,https://www.biblegateway.com/passage/?search=Psalm+93&version=NIV,Season after Epiphany,Behold the Beauty of the Lord
2025-02-05,Isaiah 40:10-31,https://www.biblegateway.com/passage/?search=Isaiah+40%3A10-31&version=NIV,Season after Epiphany,Behold the Beauty of the Lord
2025-02-06,Matthew 27:27-31,https://www.biblegateway.com/passage/?search=Matthew+27%3A27-31&version=NIV,Season after Epiphany,Behold the Beauty of the Lord
2025-02-07,Romans 15:7-13,https://www.biblegateway.com/passage/?search=Romans+15%3A7-13&version=NIV,Season after Epiphany,Behold the Beauty of the Lord
2025-02-08,Hebrews 1:1-9,https://www.biblegateway.com/passage/?search=Hebrews+1%3A1-9&version=NIV,Season after Epiphany,Behold the Beauty of the Lord
2025-02-09,Psalm 46,https://www.biblegateway.com/passage/?search=Psalm+46&version=NIV,Season after Epiphany,Be Still
2025-02-10,Deuteronomy 8,https://www.biblegateway.com/passage/?search=Deuteronomy+8&version=NIV,Season after Epiphany,Be Still
2025-02-11,Ecclesiastes 9:11-18,https://www.biblegateway.com/passage/?search=Ecclesiastes+9%3A11-18&version=NIV,Season after Epiphany,Be Still
2025-02-12,Psalm 4,https://www.biblegateway.com/passage/?search=Psalm+4&version=NIV,Season after Epiphany,Be Still
2025-02-13,Mark 9:2-13,https://www.biblegateway.com/passage/?search=Mark+9%3A2-13&version=NIV,Season after Epiphany,Be Still
2025-02-14,Luke 4:35-41,https://www.biblegateway.com/passage/?search=Luke+4%3A35-41&version=NIV,Season after Epiphany,Be Still
2025-02-15,Luke 12:22-32,https://www.biblegateway.com/passage/?search=Luke+12%3A22-32&version=NIV,Season after Epiphany,Be Still
2025-02-16,Psalm 113,https://www.biblegateway.com/passage/?search=Psalm+113&version=NIV,Season after Epiphany,Wonder
2025-02-17,Exodus 15:1-18,https://www.biblegateway.com/passage/?search=Exodus+15%3A1-18&version=NIV,Season after Epiphany,Wonder
2025-02-18,1 Samuel 2:1-10,https://www.biblegateway.com/passage/?search=1+Samuel+2%3A1-10&version=NIV,Season after Epiphany,Wonder
